created,text
2021-12-02 12:25:01,"RT @HJSBangalore: Today entire world has been engulfed with extreme form of global issues

In coming times, there will be a surge in extrem…"
2021-12-02 12:24:54,"RT @Gp_hjs: Predictions of Shri Shivananda Shivayogi Rajendra Shri of Kodi Mutt in Karnataka about tsunami &amp; earthquake

Read More :
https:…"
2021-12-02 12:24:48,"RT @johnnys: Following its Nagoya premiere in October, actor Yoshitaka Hara's starring turn in ""Ten-Goku"" (Heaven) at last comes to Tokyo!…"
2021-12-02 12:24:40,@palindnilap @AliceAvizandum @kearsley @sitrucyrneh @JBadsleep wait till u hear the actual correct coffee order: “une noisette”
2021-12-02 12:24:36,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:24:34,Year 3 going on an adventure to Pompeii earlier in the week. We experienced an earthquake and a volcanic eruption.… https://t.co/3pb1wL60px
2021-12-02 12:24:08,"30 Nov 21:51
Men’s ring size guide 😮

Sakurazaka46 pose, but looks like Keyakizaka46 pose😅 and no earthquake shakin… https://t.co/nqdEMWoMJ5"
2021-12-02 12:24:07,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:24:07,"RT @johnnys: Following its Nagoya premiere in October, actor Yoshitaka Hara's starring turn in ""Ten-Goku"" (Heaven) at last comes to Tokyo!…"
2021-12-02 12:23:54,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:23:36,It seems we had a big earthquake last night. I was fast asleep and didn't notice the earthquake...
2021-12-02 12:23:31,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:23:31,"Quake info: Light mag. 3.4 earthquake - 17 km north of Yasuj, Kohgiluyeh and Boyer-Ahmad, Iran, on Thursday, Dec 2,… https://t.co/o6ymyC5mQ0"
2021-12-02 12:22:59,Never hurricanes or earthquake but…I’m educated at language and stuff lol
